time_entry,time_exit,symbol,side,entry,exit,pnl_pct,reason,profile_run,risk_perc_run,R_multiple,account_pnl_pct,account_pnl_usd,equity_before,equity_after,qty,notional_usd,time_limit_applied,time_limit_minutes,unrealized_pct_at_90m,be_armed,leg,leg_fraction
2025-08-17 17:34:59,2025-08-17 19:04:59,ETHUSDT,LONG,4527.890000,4527.890000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,29540.80,29540.80,108.736431,492346.60,True,90,,False,FULL,1.00
2025-08-17 19:05:59,2025-08-17 20:35:59,ETHUSDT,LONG,4468.100000,4474.970000,0.1538,ExitD_TimeMax_Profit,SAFE,100.00,0.0256,2.5626,757.02,29540.80,30297.81,110.191491,492346.60,True,90,,False,FULL,1.00
2025-08-17 20:36:59,2025-08-17 22:06:59,ETHUSDT,LONG,4475.150000,4489.050000,0.3106,ExitD_TimeMax_Profit,SAFE,100.00,0.0518,5.1767,1568.44,30297.81,31866.25,112.837229,504963.52,True,90,,False,FULL,1.00
2025-08-17 22:07:59,2025-08-17 23:37:59,ETHUSDT,LONG,4494.570000,4494.570000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,31866.25,31866.25,118.165731,531104.15,True,90,,False,FULL,1.00
2025-08-17 23:38:59,2025-08-18 01:08:59,ETHUSDT,LONG,4486.250000,4486.250000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,31866.25,31866.25,118.384876,531104.15,True,90,,False,FULL,1.00
2025-08-18 01:09:59,2025-08-18 02:39:59,ETHUSDT,LONG,4456.020000,4456.020000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,31866.25,31866.25,119.188008,531104.15,True,90,,False,FULL,1.00
2025-08-18 02:40:59,2025-08-18 04:10:59,ETHUSDT,LONG,4373.260000,4373.260000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,31866.25,31866.25,121.443534,531104.15,True,90,,False,FULL,1.00
2025-08-18 04:11:59,2025-08-18 05:41:59,ETHUSDT,LONG,4320.030000,4320.030000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,31866.25,31866.25,122.939922,531104.15,True,90,,False,FULL,1.00
2025-08-18 05:42:59,2025-08-18 07:12:59,ETHUSDT,LONG,4288.580000,4288.580000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,31866.25,31866.25,123.841493,531104.15,True,90,,False,FULL,1.00
2025-08-18 07:13:59,2025-08-18 08:43:59,ETHUSDT,LONG,4250.340000,4269.010000,0.4393,ExitD_TimeMax_Profit,SAFE,100.00,0.0732,7.3210,2332.92,31866.25,34199.17,124.955686,531104.15,True,90,,False,FULL,1.00
